make,basemodel,model,fuel_type
Acura,CL,2.2CL/3.0CL,Regular
Acura,CL,2.3CL/3.0CL,Regular
Acura,CL,3.2CL,Premium
Acura,ILX,ILX,Premium
Acura,ILX,ILX Hybrid,Premium
Acura,Integra,Integra,Premium
Acura,Integra,Integra,Regular
Acura,Integra,Integra A-Spec,Premium
Acura,Legend,Legend,Premium
Acura,Legend,Legend,Regular
Acura,MDX,MDX,Premium
Acura,MDX,MDX 2WD,Premium
Acura,MDX,MDX 4WD,Premium
Acura,MDX,MDX AWD,Premium
Acura,MDX,MDX AWD A-SPEC,Premium
Acura,MDX,MDX AWD Type-S,Premium
Acura,MDX,MDX FWD,Premium
Acura,MDX,MDX Hybrid AWD,Premium
Acura,NSX,NSX,Premium
Acura,NSX,NSX Hybrid,Premium
Acura,RDX,RDX 2WD,Premium
Acura,RDX,RDX 4WD,Premium
Acura,RDX,RDX AWD,Premium
Acura,RDX,RDX AWD A-SPEC,Premium
Acura,RDX,RDX FWD,Premium
Acura,RDX,RDX FWD A-SPEC,Premium
Acura,RL,3.5RL,Premium
Acura,RL,RL,Premium
Acura,RLX,RLX,Premium
Acura,RLX,RLX Hybrid,Premium
Acura,RSX,RSX,Premium
Acura,RSX,RSX,Regular
Acura,SLX,SLX,Regular
Acura,TL,2.5TL,Premium
Acura,TL,2.5TL/3.2TL,Premium
Acura,TL,3.2TL,Premium
Acura,TL,TL,Premium
Acura,TL,TL 2WD,Premium
Acura,TL,TL 4WD,Premium
Acura,TLX,TLX,Premium
Acura,TLX,TLX 2WD,Premium
Acura,TLX,TLX 4WD,Premium
Acura,TLX,TLX AWD,Premium
Acura,TLX,TLX AWD A-SPEC,Premium
Acura,TLX,TLX FWD,Premium
Acura,TLX,TLX FWD A-SPEC,Premium
Acura,TLX,TLX Type-S,Premium
Acura,TLX,TLX Type-S Perf Tire,Premium
Acura,TSX,TSX,Premium
Acura,TSX,TSX Wagon,Premium
Acura,Vigor,Vigor,Premium
Acura,ZDX,ZDX 4WD,Premium
Acura,ZDX,ZDX AWD,Electricity
Acura,ZDX,ZDX RWD,Electricity
Alfa Romeo,164,164,Premium
Alfa Romeo,4C,4C,Premium
Alfa Romeo,Giulia,Giulia,Premium
Alfa Romeo,Giulia,Giulia AWD,Premium
Alfa Romeo,GT,GT V6 2.5,Regular
Alfa Romeo,GTV,GTV,Regular
Alfa Romeo,Milano,Milano,Regular
Alfa Romeo,Spider,8 C Spider,Premium
Alfa Romeo,Spider,Spider,Premium
Alfa Romeo,Spider,Spider,Regular
Alfa Romeo,Spider,Spider Veloce 2000,Regular
Alfa Romeo,Stelvio,Stelvio,Premium
Alfa Romeo,Stelvio,Stelvio AWD,Premium
Alfa Romeo,Tonale eAWD,Tonale eAWD,Regular Gas and Electricity
AM General,DJ Po Vehicle,DJ Po Vehicle 2WD,Regular
AM General,FJ8c Post Office,FJ8c Post Office,Regular
AM General,Post Office DJ5,Post Office DJ5 2WD,Regular
AM General,Post Office DJ8,Post Office DJ8 2WD,Regular
American Motors Corporation,Eagle,Eagle,Regular
American Motors Corporation,Eagle,Eagle 4DR Wagon,Regular
American Motors Corporation,Eagle,Eagle 4WD,Regular
American Motors Corporation,Eagle,Eagle SX/4 4WD,Regular
ASC Incorporated,GNX,GNX,Premium
Aston Martin,DB AR1,DB AR1,Premium
Aston Martin,DB-7 GT,DB-7 GT Coupe,Premium
Aston Martin,DB-7 GT,DB-7 GT Volante,Premium
Aston Martin,DB-7 Vantage,DB-7 Vantage Coupe,Premium
Aston Martin,DB-7 Vantage,DB-7 Vantage Volante,Premium
Aston Martin,DB11,DB11 V12,Premium
Aston Martin,DB11,DB11 V8,Premium
Aston Martin,DB12 V8,DB12 V8,Premium
Aston Martin,DB7,DB7 Coupe,Premium
Aston Martin,DB7,DB7 Volante,Premium
Aston Martin,DB9,DB9,Premium
Aston Martin,DB9,DB9 Coupe,Premium
Aston Martin,DB9,DB9 Coupe Manual,Premium
Aston Martin,DB9,DB9 Volante,Premium
Aston Martin,DB9,DB9 Volante Manual,Premium
Aston Martin,DBS,DBS,Premium
Aston Martin,DBS,DBS Coupe,Premium
Aston Martin,DBX 707,DBX 707,Premium
Aston Martin,DBX V8,DBX V8,Premium
Aston Martin,Lagonda,Lagonda,Regular
Aston Martin,Rapide,Rapide,Premium
Aston Martin,Rapide,Rapide S,Premium
Aston Martin,Saloon/Vantage/Volante,Saloon/Vantage/Volante,Regular
Aston Martin,Valour,Valour,Premium
Aston Martin,Vanquish,V12 Vanquish,Premium
Aston Martin,Vanquish,V12 Vanquish S,Premium
Aston Martin,Vanquish,Vanquish,Premium
Aston Martin,Vanquish,Vanquish S,Premium
