make,basemodel,model
Acura,CL,2.2CL/3.0CL
Acura,CL,2.3CL/3.0CL
Acura,CL,3.2CL
Acura,ILX,ILX
Acura,ILX,ILX Hybrid
Acura,Integra,Integra
Acura,Integra,Integra A-Spec
Acura,Legend,Legend
Acura,MDX,MDX
Acura,MDX,MDX 2WD
Acura,MDX,MDX 4WD
Acura,MDX,MDX AWD
Acura,MDX,MDX AWD A-SPEC
Acura,MDX,MDX AWD Type-S
Acura,MDX,MDX FWD
Acura,MDX,MDX Hybrid AWD
Acura,NSX,NSX
Acura,NSX,NSX Hybrid
Acura,RDX,RDX 2WD
Acura,RDX,RDX 4WD
Acura,RDX,RDX AWD
Acura,RDX,RDX AWD A-SPEC
Acura,RDX,RDX FWD
Acura,RDX,RDX FWD A-SPEC
Acura,RL,3.5RL
Acura,RL,RL
Acura,RLX,RLX
Acura,RLX,RLX Hybrid
Acura,RSX,RSX
Acura,SLX,SLX
Acura,TL,2.5TL
Acura,TL,2.5TL/3.2TL
Acura,TL,3.2TL
Acura,TL,TL
Acura,TL,TL 2WD
Acura,TL,TL 4WD
Acura,TLX,TLX
Acura,TLX,TLX 2WD
Acura,TLX,TLX 4WD
Acura,TLX,TLX AWD
Acura,TLX,TLX AWD A-SPEC
Acura,TLX,TLX FWD
Acura,TLX,TLX FWD A-SPEC
Acura,TLX,TLX Type-S
Acura,TLX,TLX Type-S Perf Tire
Acura,TSX,TSX
Acura,TSX,TSX Wagon
Acura,Vigor,Vigor
Acura,ZDX,ZDX 4WD
Acura,ZDX,ZDX AWD
Acura,ZDX,ZDX RWD
Alfa Romeo,164,164
Alfa Romeo,4C,4C
Alfa Romeo,Giulia,Giulia
Alfa Romeo,Giulia,Giulia AWD
Alfa Romeo,GT,GT V6 2.5
Alfa Romeo,GTV,GTV
Alfa Romeo,Milano,Milano
Alfa Romeo,Spider,8 C Spider
Alfa Romeo,Spider,Spider
Alfa Romeo,Spider,Spider Veloce 2000
Alfa Romeo,Stelvio,Stelvio
Alfa Romeo,Stelvio,Stelvio AWD
Alfa Romeo,Tonale eAWD,Tonale eAWD
AM General,DJ Po Vehicle,DJ Po Vehicle 2WD
AM General,FJ8c Post Office,FJ8c Post Office
AM General,Post Office DJ5,Post Office DJ5 2WD
AM General,Post Office DJ8,Post Office DJ8 2WD
American Motors Corporation,Eagle,Eagle
American Motors Corporation,Eagle,Eagle 4DR Wagon
American Motors Corporation,Eagle,Eagle 4WD
American Motors Corporation,Eagle,Eagle SX/4 4WD
ASC Incorporated,GNX,GNX
Aston Martin,DB AR1,DB AR1
Aston Martin,DB-7 GT,DB-7 GT Coupe
Aston Martin,DB-7 GT,DB-7 GT Volante
Aston Martin,DB-7 Vantage,DB-7 Vantage Coupe
Aston Martin,DB-7 Vantage,DB-7 Vantage Volante
Aston Martin,DB11,DB11 V12
Aston Martin,DB11,DB11 V8
Aston Martin,DB12 V8,DB12 V8
Aston Martin,DB7,DB7 Coupe
Aston Martin,DB7,DB7 Volante
Aston Martin,DB9,DB9
Aston Martin,DB9,DB9 Coupe
Aston Martin,DB9,DB9 Coupe Manual
Aston Martin,DB9,DB9 Volante
Aston Martin,DB9,DB9 Volante Manual
Aston Martin,DBS,DBS
Aston Martin,DBS,DBS Coupe
Aston Martin,DBX 707,DBX 707
Aston Martin,DBX V8,DBX V8
Aston Martin,Lagonda,Lagonda
Aston Martin,Rapide,Rapide
Aston Martin,Rapide,Rapide S
Aston Martin,Saloon/Vantage/Volante,Saloon/Vantage/Volante
Aston Martin,Valour,Valour
Aston Martin,Vanquish,V12 Vanquish
Aston Martin,Vanquish,V12 Vanquish S
Aston Martin,Vanquish,Vanquish
Aston Martin,Vanquish,Vanquish S
Aston Martin,Vanquish,Vanquish S Zagato
Aston Martin,Vantage,V12 Vantage
Aston Martin,Vantage,V12 Vantage S
Aston Martin,Vantage,V8 Vantage
Aston Martin,Vantage,V8 Vantage ASM
Aston Martin,Vantage,V8 Vantage S
Aston Martin,Vantage,Vantage
Aston Martin,Vantage,Vantage GT
Aston Martin,Vantage,Vantage Manual
Aston Martin,Vantage,Vantage V12
Aston Martin,Vantage,Vantage V8
Aston Martin,Vantage Manual,Vantage Manual
Aston Martin,Virage,Virage
Aston Martin,Virage,Virage Saloon
Aston Martin,Virage/Volante,Virage/Volante
Audi,100,100
Audi,100,100 quattro
Audi,100,100 quattro Wagon
Audi,100,100 Wagon
Audi,200,200
Audi,200,200 quattro
Audi,200,200 quattro 20v
Audi,200,200 quattro 20v Wagon
Audi,200,200 quattro Wagon
Audi,4000,4000
Audi,4000,4000 CS quattro
Audi,4000,4000 S
Audi,4000,4000 S quattro
Audi,4000,4000s
Audi,4000,4000s quattro
Audi,5000,5000 CS quattro
Audi,5000,5000 CS quattro Wagon
Audi,5000,5000 CS Turbo
Audi,5000,5000 S
Audi,5000,5000 S quattro
Audi,5000,5000S
Audi,5000,5000S Wagon
Audi,80/90,80
Audi,80/90,80 quattro
Audi,80/90,80/90
Audi,80/90,80/90 quattro
Audi,80/90,90
Audi,80/90,90 quattro
Audi,80/90,90 quattro 20v
Audi,A3,A3
Audi,A3,A3 Cabriolet
Audi,A3,A3 Cabriolet quattro
Audi,A3,A3 e-tron
Audi,A3,A3 e-tron ultra
Audi,A3,A3 quattro
Audi,A4,A4
Audi,A4,A4 allroad quattro
Audi,A4,A4 Avant
Audi,A4,A4 Avant quattro
Audi,A4,A4 Cabriolet
Audi,A4,A4 Cabriolet quattro
Audi,A4,A4 quattro
Audi,A4,A4 S line quattro
Audi,A4,A4 S-Line quattro
Audi,A4,A4 Ultra
Audi,A5,A5 Cabriolet
Audi,A5,A5 Cabriolet quattro
Audi,A5,A5 Coupe quattro
Audi,A5,A5 quattro
Audi,A5,A5 Sportback quattro
Audi,A5,A5 Sportback S line quattro
Audi,A5,A5 Sportback S-Line quattro
Audi,A6,A6
Audi,A6,A6 Allroad
Audi,A6,A6 Allroad quattro
Audi,A6,A6 Avant quattro
Audi,A6,A6 quattro
Audi,A6,A6 quattro Wagon
Audi,A6,A6 Wagon
Audi,A6,A6 Wagon quattro
Audi,A7,A7
Audi,A7,A7 quattro
Audi,A7,A7 TFSI e quattro
Audi,A8,A8
Audi,A8,A8 L
Audi,A8,A8 L quattro
Audi,A8,A8 quattro
Audi,Allroad,Allroad
Audi,Allroad,allroad quattro
Audi,Cabriolet,Cabriolet
Audi,Coupe GT,Coupe GT
Audi,Coupe quattro,Coupe quattro
Audi,e-tron,e-tron
Audi,e-tron,e-tron quattro
Audi,e-tron,e-tron Sportback
Audi,e-tron,e-tron Sportback quattro
Audi,e-tron GT,e-tron GT
Audi,e-tron S,e-tron S (20 inch wheels)
Audi,e-tron S,e-tron S (20in wheels)
Audi,e-tron S,e-tron S (21/22 inch wheels)
Audi,e-tron S,e-tron S Sportback (20 inch wheels)
Audi,e-tron S,e-tron S Sportback (21/22 inch wheels)
Audi,Q3,Q3
Audi,Q3,Q3 quattro
Audi,Q3,Q3 S line quattro
Audi,Q3,Q3 S-Line
Audi,Q3,Q3 S-line quattro
Audi,Q4 e-tron,Q4 40 e-tron
Audi,Q4 e-tron,Q4 50 e-tron quattro
Audi,Q4 e-tron,Q4 55 e-tron quattro
Audi,Q4 e-tron,Q4 e-tron
Audi,Q4 e-tron,Q4 e-tron quattro
Audi,Q4 e-tron,Q4 e-tron Sportback
Audi,Q4 e-tron,Q4 e-tron Sportback quattro
Audi,Q4 e-tron,Q4 Sportback 50 e-tron quattro
Audi,Q4 e-tron,Q4 Sportback 55 e-tron quattro
Audi,Q5,Q5
Audi,Q5,Q5 Hybrid
Audi,Q5,Q5 quattro
Audi,Q5,Q5 S line quattro
Audi,Q5,Q5 S-Line quattro
Audi,Q5,Q5 Sportback
Audi,Q5,Q5 Sportback S line quattro
Audi,Q5,Q5 Sportback S-line quattro
Audi,Q5,Q5 TFSI e quattro
Audi,Q7,Q7
Audi,Q7,Q7 quattro
Audi,Q8,Q8
Audi,Q8,Q8 quattro
Audi,Q8 e-tron,Q8 e-tron quattro
Audi,Q8 e-tron,Q8 Sportback e-tron quattro
Audi,Q8 e-tron,Q8 Sportback e-tron ultra quattro
Audi,Quattro,Quattro
Audi,R8,R8
Audi,R8,R8 2WD
Audi,R8,R8 AWD
Audi,R8,R8 Coupe
Audi,R8,R8 Coupe quattro
